PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,Survived
1,3,male,22.0,1,0,7.25,S,Mr,0
2,1,female,38.0,1,0,71.2833,C,Mrs,1
3,3,female,26.0,0,0,7.925,S,Miss,1
4,1,female,35.0,1,0,53.1,S,Mrs,1
5,3,male,35.0,0,0,8.05,S,Mr,0
6,3,male,29.351297619047617,0,0,8.4583,Q,Mr,0
7,1,male,54.0,0,0,51.8625,S,Mr,0
8,3,male,2.0,3,1,21.075,S,Master,0
9,3,female,27.0,0,2,11.1333,S,Mrs,1
10,2,female,14.0,1,0,30.0708,C,Mrs,1
11,3,female,4.0,1,1,16.7,S,Miss,1
12,1,female,58.0,0,0,26.55,S,Miss,1
13,3,male,20.0,0,0,8.05,S,Mr,0
14,3,male,39.0,1,5,31.275,S,Mr,0
15,3,female,14.0,0,0,7.8542,S,Miss,0
16,2,female,55.0,0,0,16.0,S,Mrs,1
17,3,male,2.0,4,1,29.125,Q,Master,0
18,2,male,31.887685451080095,0,0,13.0,S,Mr,1
19,3,female,31.0,1,0,18.0,S,Mrs,0
20,3,female,38.97525581709956,0,0,7.225,C,Mrs,1
21,2,male,35.0,0,0,26.0,S,Mr,0
22,2,male,34.0,0,0,13.0,S,Mr,1
23,3,female,15.0,0,0,8.0292,Q,Miss,1
24,1,male,28.0,0,0,35.5,S,Mr,1
25,3,female,8.0,3,1,21.075,S,Miss,0
26,3,female,38.0,1,5,31.3875,S,Mrs,1
27,3,male,27.256516612848355,0,0,7.225,C,Mr,0
28,1,male,19.0,3,2,263.0,S,Mr,0
29,3,female,21.579024170274167,0,0,7.8792,Q,Miss,1
30,3,male,28.627636015978652,0,0,7.8958,S,Mr,0
31,1,male,40.0,0,0,27.7208,C,Rare,0
32,1,female,40.455,1,0,146.5208,C,Mrs,1
33,3,female,26.363908542846033,0,0,7.75,Q,Miss,1
34,2,male,66.0,0,0,10.5,S,Mr,0
35,1,male,28.0,1,0,82.1708,C,Mr,0
36,1,male,42.0,1,0,52.0,S,Mr,0
37,3,male,23.90057433064013,0,0,7.2292,C,Mr,1
38,3,male,21.0,0,0,8.05,S,Mr,0
39,3,female,18.0,2,0,18.0,S,Miss,0
40,3,female,14.0,1,0,11.2417,C,Miss,1
41,3,female,40.0,1,0,9.475,S,Mrs,0
42,2,female,27.0,1,0,21.0,S,Mrs,0
43,3,male,32.193794723294715,0,0,7.8958,C,Mr,0
44,2,female,3.0,1,2,41.5792,C,Miss,1
45,3,female,19.0,0,0,7.8792,Q,Miss,1
46,3,male,29.77810885753248,0,0,8.05,S,Mr,0
47,3,male,31.32748611111111,1,0,15.5,Q,Mr,0
48,3,female,26.363908542846033,0,0,7.75,Q,Miss,1
49,3,male,21.694123015873014,2,0,21.6792,C,Mr,0
50,3,female,18.0,1,0,17.8,S,Mrs,0
51,3,male,7.0,4,1,39.6875,S,Master,0
52,3,male,21.0,0,0,7.8,S,Mr,0
53,1,female,49.0,1,0,76.7292,C,Mrs,1
54,2,female,29.0,1,0,26.0,S,Mrs,1
55,1,male,65.0,0,1,61.9792,C,Mr,0
56,1,male,38.974083333333326,0,0,35.5,S,Mr,1
57,2,female,21.0,0,0,10.5,S,Miss,1
58,3,male,28.5,0,0,7.2292,C,Mr,0
59,2,female,5.0,1,2,27.75,S,Miss,1
60,3,male,11.0,5,2,46.9,S,Master,0
61,3,male,22.0,0,0,7.2292,C,Mr,0
62,1,female,38.0,0,0,80.0,S,Miss,1
63,1,male,45.0,1,0,83.475,S,Mr,0
64,3,male,4.0,3,2,27.9,S,Master,0
65,1,male,31.47465909090909,0,0,27.7208,C,Mr,0
66,3,male,6.522255952380951,1,1,15.2458,C,Master,1
67,2,female,29.0,0,0,10.5,S,Mrs,1
68,3,male,19.0,0,0,8.1583,S,Mr,0
69,3,female,17.0,4,2,7.925,S,Miss,1
70,3,male,26.0,2,0,8.6625,S,Mr,0
71,2,male,32.0,0,0,10.5,S,Mr,0
72,3,female,16.0,5,2,46.9,S,Miss,0
73,2,male,21.0,0,0,73.5,S,Mr,0
74,3,male,26.0,1,0,14.4542,C,Mr,0
75,3,male,32.0,0,0,56.4958,S,Mr,1
76,3,male,25.0,0,0,7.65,S,Mr,0
77,3,male,28.627636015978652,0,0,7.8958,S,Mr,0
78,3,male,29.77810885753248,0,0,8.05,S,Mr,0
79,2,male,0.83,0,2,29.0,S,Master,1
80,3,female,30.0,0,0,12.475,S,Miss,1
81,3,male,22.0,0,0,9.0,S,Mr,0
82,3,male,29.0,0,0,9.5,S,Mr,1
83,3,female,22.385162018537013,0,0,7.7875,Q,Miss,1
84,1,male,28.0,0,0,47.1,S,Mr,0
85,2,female,17.0,0,0,10.5,S,Miss,1
86,3,female,33.0,3,0,15.85,S,Mrs,1
87,3,male,16.0,1,3,34.375,S,Mr,0
88,3,male,29.77810885753248,0,0,8.05,S,Mr,0
89,1,female,23.0,3,2,263.0,S,Miss,1
90,3,male,24.0,0,0,8.05,S,Mr,0
91,3,male,29.0,0,0,8.05,S,Mr,0
92,3,male,20.0,0,0,7.8542,S,Mr,0
93,1,male,46.0,1,0,61.175,S,Mr,0
94,3,male,26.0,1,2,20.575,S,Mr,0
95,3,male,59.0,0,0,7.25,S,Mr,0
96,3,male,29.77810885753248,0,0,8.05,S,Mr,0
97,1,male,71.0,0,0,34.6542,C,Mr,0
98,1,male,23.0,0,1,63.3583,C,Mr,1
99,2,female,34.0,0,1,23.0,S,Mrs,1
100,2,male,34.0,1,0,26.0,S,Mr,0
101,3,female,28.0,0,0,7.8958,S,Miss,0
102,3,male,28.627636015978652,0,0,7.8958,S,Mr,0
103,1,male,21.0,0,1,77.2875,S,Mr,0
104,3,male,33.0,0,0,8.6542,S,Mr,0
105,3,male,37.0,2,0,7.925,S,Mr,0
106,3,male,28.0,0,0,7.8958,S,Mr,0
107,3,female,21.0,0,0,7.65,S,Miss,1
108,3,male,27.484150815728494,0,0,7.775,S,Mr,1
109,3,male,38.0,0,0,7.8958,S,Mr,0
110,3,female,17.031833333333335,1,0,24.15,Q,Miss,1
111,1,male,47.0,0,0,52.0,S,Mr,0
112,3,female,14.5,1,0,14.4542,C,Miss,0
113,3,male,22.0,0,0,8.05,S,Mr,0
114,3,female,20.0,1,0,9.825,S,Miss,0
115,3,female,17.0,0,0,14.4583,C,Miss,0
116,3,male,21.0,0,0,7.925,S,Mr,0
117,3,male,70.5,0,0,7.75,Q,Mr,0
118,2,male,29.0,1,0,21.0,S,Mr,0
119,1,male,24.0,0,1,247.5208,C,Mr,0
120,3,female,2.0,4,2,31.275,S,Miss,0
121,2,male,21.0,2,0,73.5,S,Mr,0
122,3,male,29.77810885753248,0,0,8.05,S,Mr,0
123,2,male,32.5,1,0,30.0708,C,Mr,0
124,2,female,32.5,0,0,13.0,S,Miss,1
125,1,male,54.0,0,1,77.2875,S,Mr,0
126,3,male,12.0,1,0,11.2417,C,Master,1
127,3,male,40.639844065656554,0,0,7.75,Q,Mr,0
128,3,male,24.0,0,0,7.1417,S,Mr,1
129,3,female,4.819320833333332,1,1,22.3583,C,Miss,1
130,3,male,45.0,0,0,6.975,S,Mr,0
131,3,male,33.0,0,0,7.8958,C,Mr,0
132,3,male,20.0,0,0,7.05,S,Mr,0
133,3,female,47.0,1,0,14.5,S,Mrs,0
134,2,female,29.0,1,0,26.0,S,Mrs,1
135,2,male,25.0,0,0,13.0,S,Mr,0
136,2,male,23.0,0,0,15.0458,C,Mr,0
137,1,female,19.0,0,2,26.2833,S,Miss,1
138,1,male,37.0,1,0,53.1,S,Mr,0
139,3,male,16.0,0,0,9.2167,S,Mr,0
140,1,male,24.0,0,0,79.2,C,Mr,0
141,3,female,30.185,0,2,15.2458,C,Mrs,0
142,3,female,22.0,0,0,7.75,S,Miss,1
143,3,female,24.0,1,0,15.85,S,Mrs,1
144,3,male,19.0,0,0,6.75,Q,Mr,0
145,2,male,18.0,0,0,11.5,S,Mr,0
146,2,male,19.0,1,1,36.75,S,Mr,0
147,3,male,27.0,0,0,7.7958,S,Mr,1
148,3,female,9.0,2,2,34.375,S,Miss,0
149,2,male,36.5,0,2,26.0,S,Mr,0
150,2,male,42.0,0,0,13.0,S,Rare,0
151,2,male,51.0,0,0,12.525,S,Rare,0
152,1,female,22.0,1,0,66.6,S,Mrs,1
153,3,male,55.5,0,0,8.05,S,Mr,0
154,3,male,40.5,0,2,14.5,S,Mr,0
155,3,male,31.828968437414847,0,0,7.3125,S,Mr,0
156,1,male,51.0,0,1,61.3792,C,Mr,0
157,3,female,16.0,0,0,7.7333,Q,Miss,1
158,3,male,30.0,0,0,8.05,S,Mr,0
159,3,male,23.997641600508487,0,0,8.6625,S,Mr,0
160,3,male,14.6005,8,2,69.55,S,Master,0
161,3,male,44.0,0,1,16.1,S,Mr,0
162,2,female,40.0,0,0,15.75,S,Mrs,1
163,3,male,26.0,0,0,7.775,S,Mr,0
164,3,male,17.0,0,0,8.6625,S,Mr,0
165,3,male,1.0,4,1,39.6875,S,Master,0
166,3,male,9.0,0,2,20.525,S,Master,1
167,1,female,40.60216666666667,0,1,55.0,S,Mrs,1
168,3,female,45.0,1,4,27.9,S,Mrs,0
169,1,male,47.000397186147175,0,0,25.925,S,Mr,0
170,3,male,28.0,0,0,56.4958,S,Mr,0
171,1,male,61.0,0,0,33.5,S,Mr,0
172,3,male,4.0,4,1,29.125,Q,Master,0
173,3,female,1.0,1,1,11.1333,S,Miss,1
174,3,male,21.0,0,0,7.925,S,Mr,0
175,1,male,56.0,0,0,30.6958,C,Mr,0
176,3,male,18.0,1,1,7.8542,S,Mr,0
177,3,male,5.863440476190477,3,1,25.4667,S,Master,0
178,1,female,50.0,0,0,28.7125,C,Miss,0
179,2,male,30.0,0,0,13.0,S,Mr,0
180,3,male,36.0,0,0,0.0,S,Mr,0
181,3,female,17.572880952380952,8,2,69.55,S,Miss,0
182,2,male,31.99257142857143,0,0,15.05,C,Mr,0
183,3,male,9.0,4,2,31.3875,S,Master,0
184,2,male,1.0,2,1,39.0,S,Master,1
185,3,female,4.0,0,2,22.025,S,Miss,1
186,1,male,51.01,0,0,50.0,S,Mr,0
187,3,female,27.569583333333334,1,0,15.5,Q,Mrs,1
188,1,male,45.0,0,0,26.55,S,Mr,1
189,3,male,40.0,1,1,15.5,Q,Mr,0
190,3,male,36.0,0,0,7.8958,S,Mr,0
191,2,female,32.0,0,0,13.0,S,Mrs,1
192,2,male,19.0,0,0,13.0,S,Mr,0
193,3,female,19.0,1,0,7.8542,S,Miss,1
194,2,male,3.0,1,1,26.0,S,Master,1
195,1,female,44.0,0,0,27.7208,C,Mrs,1
196,1,female,58.0,0,0,146.5208,C,Miss,1
197,3,male,40.639844065656554,0,0,7.75,Q,Mr,0
198,3,male,42.0,0,1,8.4042,S,Mr,0
199,3,female,26.363908542846033,0,0,7.75,Q,Miss,1
200,2,female,24.0,0,0,13.0,S,Miss,0
201,3,male,28.0,0,0,9.5,S,Mr,0
202,3,male,18.565666666666672,8,2,69.55,S,Mr,0
203,3,male,34.0,0,0,6.4958,S,Mr,0
204,3,male,45.5,0,0,7.225,C,Mr,0
205,3,male,18.0,0,0,8.05,S,Mr,1
206,3,female,2.0,0,1,10.4625,S,Miss,0
207,3,male,32.0,1,0,15.85,S,Mr,0
208,3,male,26.0,0,0,18.7875,C,Mr,1
209,3,female,16.0,0,0,7.75,Q,Miss,1
210,1,male,40.0,0,0,31.0,C,Mr,1
211,3,male,24.0,0,0,7.05,S,Mr,0
212,2,female,35.0,0,0,21.0,S,Miss,1
213,3,male,22.0,0,0,7.25,S,Mr,0
214,2,male,30.0,0,0,13.0,S,Mr,0
215,3,male,37.17247601010101,1,0,7.75,Q,Mr,0
216,1,female,31.0,1,0,113.275,C,Miss,1
217,3,female,27.0,0,0,7.925,S,Miss,1
218,2,male,42.0,1,0,27.0,S,Mr,0
219,1,female,32.0,0,0,76.2917,C,Miss,1
220,2,male,30.0,0,0,10.5,S,Mr,0
221,3,male,16.0,0,0,8.05,S,Mr,1
222,2,male,27.0,0,0,13.0,S,Mr,0
223,3,male,51.0,0,0,8.05,S,Mr,0
224,3,male,28.627636015978652,0,0,7.8958,S,Mr,0
225,1,male,38.0,1,0,90.0,S,Mr,1
226,3,male,22.0,0,0,9.35,S,Mr,0
227,2,male,19.0,0,0,10.5,S,Mr,1
228,3,male,20.5,0,0,7.25,S,Mr,0
229,2,male,18.0,0,0,13.0,S,Mr,0
230,3,female,6.471857142857139,3,1,25.4667,S,Miss,0
231,1,female,35.0,1,0,83.475,S,Mrs,1
232,3,male,29.0,0,0,7.775,S,Mr,0
233,2,male,59.0,0,0,13.5,S,Mr,0
234,3,female,5.0,4,2,31.3875,S,Miss,1
235,2,male,24.0,0,0,10.5,S,Mr,0
236,3,female,21.853333333333335,0,0,7.55,S,Miss,0
237,2,male,44.0,1,0,26.0,S,Mr,0
238,2,female,8.0,0,2,26.25,S,Miss,1
239,2,male,19.0,0,0,10.5,S,Mr,0
240,2,male,33.0,0,0,12.275,S,Mr,0
241,3,female,14.969583333333333,1,0,14.4542,C,Miss,0
242,3,female,16.316833333333335,1,0,15.5,Q,Miss,1
243,2,male,29.0,0,0,10.5,S,Mr,0
244,3,male,22.0,0,0,7.125,S,Mr,0
245,3,male,30.0,0,0,7.225,C,Mr,0
246,1,male,44.0,2,0,90.0,Q,Rare,0
247,3,female,25.0,0,0,7.775,S,Miss,0
248,2,female,24.0,0,2,14.5,S,Mrs,1
249,1,male,37.0,1,1,52.5542,S,Mr,1
250,2,male,54.0,1,0,26.0,S,Rare,0
251,3,male,31.842968437414847,0,0,7.25,S,Mr,0
252,3,female,29.0,1,1,10.4625,S,Mrs,0
253,1,male,62.0,0,0,26.55,S,Mr,0
254,3,male,30.0,1,0,16.1,S,Mr,0
255,3,female,41.0,0,2,20.2125,S,Mrs,0
256,3,female,29.0,0,2,15.2458,C,Mrs,1
257,1,female,51.88935714285715,0,0,79.2,C,Mrs,1
258,1,female,30.0,0,0,86.5,S,Miss,1
259,1,female,35.0,0,0,512.3292,C,Miss,1
260,2,female,50.0,0,1,26.0,S,Mrs,1
261,3,male,40.639844065656554,0,0,7.75,Q,Mr,0
262,3,male,3.0,4,2,31.3875,S,Master,1
263,1,male,52.0,1,1,79.65,S,Mr,0
264,1,male,40.0,0,0,0.0,S,Mr,0
265,3,female,26.363908542846033,0,0,7.75,Q,Miss,0
266,2,male,36.0,0,0,10.5,S,Mr,0
267,3,male,16.0,4,1,39.6875,S,Mr,0
268,3,male,25.0,1,0,7.775,S,Mr,1
269,1,female,58.0,0,1,153.4625,S,Mrs,1
270,1,female,35.0,0,0,135.6333,S,Miss,1
271,1,male,45.248805555555556,0,0,31.0,S,Mr,0
272,3,male,25.0,0,0,0.0,S,Mr,1
273,2,female,41.0,0,1,19.5,S,Mrs,1
274,1,male,37.0,0,1,29.7,C,Mr,0
275,3,female,26.363908542846033,0,0,7.75,Q,Miss,1
276,1,female,63.0,1,0,77.9583,S,Miss,1
277,3,female,45.0,0,0,7.75,S,Miss,0
278,2,male,37.445388552939214,0,0,0.0,S,Mr,0
279,3,male,7.0,4,1,29.125,Q,Master,0
280,3,female,35.0,1,1,20.25,S,Mrs,1
281,3,male,65.0,0,0,7.75,Q,Mr,0
282,3,male,28.0,0,0,7.8542,S,Mr,0
283,3,male,16.0,0,0,9.5,S,Mr,0
284,3,male,19.0,0,0,8.05,S,Mr,1
285,1,male,47.608766233766225,0,0,26.0,S,Mr,0
286,3,male,33.0,0,0,8.6625,C,Mr,0
287,3,male,30.0,0,0,9.5,S,Mr,1
288,3,male,22.0,0,0,7.8958,S,Mr,0
289,2,male,42.0,0,0,13.0,S,Mr,1
290,3,female,22.0,0,0,7.75,Q,Miss,1
291,1,female,26.0,0,0,78.85,S,Miss,1
292,1,female,19.0,1,0,91.0792,C,Mrs,1
293,2,male,36.0,0,0,12.875,C,Mr,0
294,3,female,24.0,0,0,8.85,S,Miss,0
295,3,male,24.0,0,0,7.8958,S,Mr,0
296,1,male,31.47465909090909,0,0,27.7208,C,Mr,0
297,3,male,23.5,0,0,7.2292,C,Mr,0
298,1,female,2.0,1,2,151.55,S,Miss,0
299,1,male,41.92480555555554,0,0,30.5,S,Mr,1
300,1,female,50.0,0,1,247.5208,C,Mrs,1
301,3,female,26.363908542846033,0,0,7.75,Q,Miss,1
302,3,male,26.26225396825397,2,0,23.25,Q,Mr,1
303,3,male,19.0,0,0,0.0,S,Mr,0
304,2,female,30.13516571969697,0,0,12.35,Q,Miss,1
305,3,male,29.77810885753248,0,0,8.05,S,Mr,0
306,1,male,0.92,1,2,151.55,S,Master,1
307,1,female,29.45916666666667,0,0,110.8833,C,Miss,1
308,1,female,17.0,1,0,108.9,C,Mrs,1
309,2,male,30.0,1,0,24.0,C,Mr,0
310,1,female,30.0,0,0,56.9292,C,Miss,1
311,1,female,24.0,0,0,83.1583,C,Miss,1
312,1,female,18.0,2,2,262.375,C,Miss,1
313,2,female,26.0,1,1,26.0,S,Mrs,0
314,3,male,28.0,0,0,7.8958,S,Mr,0
315,2,male,43.0,1,1,26.25,S,Mr,0
316,3,female,26.0,0,0,7.8542,S,Miss,1
317,2,female,24.0,1,0,26.0,S,Mrs,1
318,2,male,54.0,0,0,14.0,S,Rare,0
319,1,female,31.0,0,2,164.8667,S,Miss,1
320,1,female,40.0,1,1,134.5,C,Mrs,1
321,3,male,22.0,0,0,7.25,S,Mr,0
322,3,male,27.0,0,0,7.8958,S,Mr,0
323,2,female,30.0,0,0,12.35,Q,Miss,1
324,2,female,22.0,1,1,29.0,S,Mrs,1
325,3,male,18.565666666666672,8,2,69.55,S,Mr,0
326,1,female,36.0,0,0,135.6333,C,Miss,1
327,3,male,61.0,0,0,6.2375,S,Mr,0
328,2,female,36.0,0,0,13.0,S,Mrs,1
329,3,female,31.0,1,1,20.525,S,Mrs,1
330,1,female,16.0,0,1,57.9792,C,Miss,1
331,3,female,17.87646875,2,0,23.25,Q,Miss,1
332,1,male,45.5,0,0,28.5,S,Mr,0
333,1,male,38.0,0,1,153.4625,S,Mr,0
334,3,male,16.0,2,0,18.0,S,Mr,0
335,1,female,37.895,1,0,133.65,S,Mrs,1
336,3,male,28.627636015978652,0,0,7.8958,S,Mr,0
337,1,male,29.0,1,0,66.6,S,Mr,0
338,1,female,41.0,0,0,134.5,C,Miss,1
339,3,male,45.0,0,0,8.05,S,Mr,1
340,1,male,45.0,0,0,35.5,S,Mr,0
341,2,male,2.0,1,1,26.0,S,Master,1
342,1,female,24.0,3,2,263.0,S,Miss,1
343,2,male,28.0,0,0,13.0,S,Mr,0
344,2,male,25.0,0,0,13.0,S,Mr,0
345,2,male,36.0,0,0,13.0,S,Mr,0
346,2,female,24.0,0,0,13.0,S,Miss,1
347,2,female,40.0,0,0,13.0,S,Miss,1
348,3,female,23.664916666666667,1,0,16.1,S,Mrs,1
349,3,male,3.0,1,1,15.9,S,Master,1
350,3,male,42.0,0,0,8.6625,S,Mr,0
351,3,male,23.0,0,0,9.225,S,Mr,0
352,1,male,49.33125000000001,0,0,35.0,S,Mr,0
353,3,male,15.0,1,1,7.2292,C,Mr,0
354,3,male,25.0,1,0,17.8,S,Mr,0
355,3,male,27.256516612848355,0,0,7.225,C,Mr,0
356,3,male,28.0,0,0,9.5,S,Mr,0
357,1,female,22.0,0,1,55.0,S,Miss,1
358,2,female,38.0,0,0,13.0,S,Miss,0
359,3,female,21.579024170274167,0,0,7.8792,Q,Miss,1
360,3,female,21.579024170274167,0,0,7.8792,Q,Miss,1
361,3,male,40.0,1,4,27.9,S,Mr,0
362,2,male,29.0,1,0,27.7208,C,Mr,0
363,3,female,45.0,0,1,14.4542,C,Mrs,0
364,3,male,35.0,0,0,7.05,S,Mr,0
365,3,male,31.32748611111111,1,0,15.5,Q,Mr,0
366,3,male,30.0,0,0,7.25,S,Mr,0
367,1,female,60.0,1,0,75.25,C,Mrs,1
368,3,female,28.919270833333336,0,0,7.2292,C,Mrs,1
369,3,female,26.363908542846033,0,0,7.75,Q,Miss,1
370,1,female,24.0,0,0,69.3,C,Mrs,1
371,1,male,25.0,1,0,55.4417,C,Mr,1
372,3,male,18.0,1,0,6.4958,S,Mr,0
373,3,male,19.0,0,0,8.05,S,Mr,0
374,1,male,22.0,0,0,135.6333,C,Mr,0
375,3,female,3.0,3,1,21.075,S,Miss,0
376,1,female,33.01,1,0,82.1708,C,Mrs,1
377,3,female,22.0,0,0,7.25,S,Miss,1
378,1,male,27.0,0,2,211.5,C,Mr,0
379,3,male,20.0,0,0,4.0125,C,Mr,0
380,3,male,19.0,0,0,7.775,S,Mr,0
381,1,female,42.0,0,0,227.525,C,Miss,1
382,3,female,1.0,0,2,15.7417,C,Miss,1
383,3,male,32.0,0,0,7.925,S,Mr,0
384,1,female,35.0,1,0,52.0,S,Mrs,1
385,3,male,28.627636015978652,0,0,7.8958,S,Mr,0
386,2,male,18.0,0,0,73.5,S,Mr,0
387,3,male,1.0,5,2,46.9,S,Master,0
388,2,female,36.0,0,0,13.0,S,Miss,1
389,3,male,26.255326388888896,0,0,7.7292,Q,Mr,0
390,2,female,17.0,0,0,12.0,C,Miss,1
391,1,male,36.0,1,2,120.0,S,Mr,1
392,3,male,21.0,0,0,7.7958,S,Mr,1
393,3,male,28.0,2,0,7.925,S,Mr,0
394,1,female,23.0,1,0,113.275,C,Miss,1
395,3,female,24.0,0,2,16.7,S,Mrs,1
396,3,male,22.0,0,0,7.7958,S,Mr,0
397,3,female,31.0,0,0,7.8542,S,Miss,0
398,2,male,46.0,0,0,26.0,S,Mr,0
399,2,male,23.0,0,0,10.5,S,Rare,0
400,2,female,28.0,0,0,12.65,S,Mrs,1
401,3,male,39.0,0,0,7.925,S,Mr,1
402,3,male,26.0,0,0,8.05,S,Mr,0
403,3,female,21.0,1,0,9.825,S,Miss,0
404,3,male,28.0,1,0,15.85,S,Mr,0
405,3,female,20.0,0,0,8.6625,S,Miss,0
406,2,male,34.0,1,0,21.0,S,Mr,0
407,3,male,51.0,0,0,7.75,S,Mr,0
408,2,male,3.0,1,1,18.75,S,Master,1
409,3,male,21.0,0,0,7.775,S,Mr,0
410,3,female,6.471857142857139,3,1,25.4667,S,Miss,0
411,3,male,28.627636015978652,0,0,7.8958,S,Mr,0
412,3,male,22.143059440559444,0,0,6.8583,Q,Mr,0
413,1,female,33.0,1,0,90.0,Q,Miss,1
414,2,male,37.445388552939214,0,0,0.0,S,Mr,0
415,3,male,44.0,0,0,7.925,S,Mr,1
416,3,female,33.33381057967164,0,0,8.05,S,Mrs,0
417,2,female,34.0,1,1,32.5,S,Mrs,1
418,2,female,18.0,0,2,13.0,S,Miss,1
419,2,male,30.0,0,0,13.0,S,Mr,0
420,3,female,10.0,0,2,24.15,S,Miss,0
421,3,male,32.193794723294715,0,0,7.8958,C,Mr,0
422,3,male,21.0,0,0,7.7333,Q,Mr,0
423,3,male,29.0,0,0,7.875,S,Mr,0
424,3,female,28.0,1,1,14.4,S,Mrs,0
425,3,male,18.0,1,1,20.2125,S,Mr,0
426,3,male,31.842968437414847,0,0,7.25,S,Mr,0
427,2,female,28.0,1,0,26.0,S,Mrs,1
428,2,female,19.0,0,0,26.0,S,Miss,1
429,3,male,40.639844065656554,0,0,7.75,Q,Mr,0
430,3,male,32.0,0,0,8.05,S,Mr,1
431,1,male,28.0,0,0,26.55,S,Mr,1
432,3,female,23.664916666666667,1,0,16.1,S,Mrs,1
433,2,female,42.0,1,0,26.0,S,Mrs,1
434,3,male,17.0,0,0,7.125,S,Mr,0
435,1,male,50.0,1,0,55.9,S,Mr,0
436,1,female,14.0,1,2,120.0,S,Miss,1
437,3,female,21.0,2,2,34.375,S,Miss,0
438,2,female,24.0,2,3,18.75,S,Mrs,1
439,1,male,64.0,1,4,263.0,S,Mr,0
440,2,male,31.0,0,0,10.5,S,Mr,0
441,2,female,45.0,1,1,26.25,S,Mrs,1
442,3,male,20.0,0,0,9.5,S,Mr,0
443,3,male,25.0,1,0,7.775,S,Mr,0
444,2,female,28.0,0,0,13.0,S,Miss,1
445,3,male,23.358686347042003,0,0,8.1125,S,Mr,1
